report_year,company,source_file,source_page,section_heading,industry,cost_item,current_amount_million_rmb,current_ratio_pct,prior_amount_million_rmb,prior_ratio_pct,yoy_change_pct,raw_unit,confidence
2025,海尔智家股份有限公司,/Users/jialunxu/Documents/personal/projects/annual_report/table_extraction/reports/600690_2025_n.pdf,43,(4). 成本分析表,家用电器 行业,主营业务成本,185255.24,100.0,176470.17,100.0,4.98,万元,0.98
2025,海尔智家股份有限公司,/Users/jialunxu/Documents/personal/projects/annual_report/table_extraction/reports/600690_2025_n.pdf,43,(4). 成本分析表,家用电器 行业,原材料,155542.03,84.0,144742.14,82.0,7.46,万元,0.98
2025,海尔智家股份有限公司,/Users/jialunxu/Documents/personal/projects/annual_report/table_extraction/reports/600690_2025_n.pdf,43,(4). 成本分析表,家用电器 行业,人工,12218.94,6.6,11422.41,6.5,6.97,万元,0.98
2025,海尔智家股份有限公司,/Users/jialunxu/Documents/personal/projects/annual_report/table_extraction/reports/600690_2025_n.pdf,43,(4). 成本分析表,家用电器 行业,折旧,3364.35,1.8,2986.34,1.7,12.66,万元,0.98
2025,海尔智家股份有限公司,/Users/jialunxu/Documents/personal/projects/annual_report/table_extraction/reports/600690_2025_n.pdf,43,(4). 成本分析表,家用电器 行业,能源,748.9,0.4,705.37,0.4,6.17,万元,0.98
2025,海尔智家股份有限公司,/Users/jialunxu/Documents/personal/projects/annual_report/table_extraction/reports/600690_2025_n.pdf,43,(4). 成本分析表,家用电器 行业,其他,13381.02,7.2,16613.92,9.4,-19.46,万元,0.98
